epoch train_loss val_loss train_acc val_acc
1 4.16796 3.78795 7.12889 12.1
2 3.56085 3.3568 16.0378 19.18
3 3.23141 3.07173 21.4222 24.24
4 3.00303 2.90655 25.7778 28
5 2.81932 2.65147 29.1289 31.48
6 2.67416 2.63027 32.1178 33.44
7 2.56705 2.58564 34.0222 35.32
8 2.46228 2.39469 36.6667 37.88
9 2.36579 2.27066 38.48 41.4
10 2.27941 2.25679 40.5911 41.84
11 2.18679 2.20571 42.4222 43.44
12 2.11664 2.24224 44.0667 42.22
13 2.04181 2.08065 45.5756 46.02
14 1.96585 2.05284 47.0533 46.86
15 1.91539 2.08314 48.2222 46.68
16 1.84853 1.96349 49.9133 49.22
17 1.79054 1.97549 51.2489 49.12
18 1.71729 1.95778 52.8689 48.92
19 1.67261 1.92322 53.9111 50.06
20 1.59786 1.9273 55.5978 50.16
21 1.53858 1.87068 57.1111 52.68
22 1.47526 1.83145 58.6089 52.72
23 1.40154 1.80546 60.6844 53.72
24 1.33771 1.78856 61.9667 53.54
25 1.26184 1.75482 64.0289 55.04
26 1.19243 1.73731 65.8578 55.36
27 1.12062 1.71765 67.7156 56.32
28 1.06505 1.69721 69.3911 56.96
29 1.0187 1.69815 70.7133 56.82
30 0.984451 1.69304 71.4844 56.92
