epoch train_loss val_loss train_acc val_acc
1 4.24368 3.93532 6.47778 9.74
2 3.67928 3.50948 13.6267 14.66
3 3.24191 3.12002 20.4556 22.58
4 2.8139 2.94009 28.2111 26.06
5 2.48741 2.69924 34.6867 31.2
6 2.21467 2.53086 40.5467 35.08
7 1.99348 2.36823 44.9222 38.88
8 1.81288 2.18765 49.6867 43.28
9 1.66077 1.9885 53.26 45.9
10 1.52736 1.95139 56.6733 47.12
11 1.42403 1.94875 59.3711 47.62
12 1.32405 1.80292 61.7733 50.84
13 1.24563 1.96311 64.1867 48.58
14 1.16567 1.60754 65.8844 56.22
15 1.10121 2.05018 67.8 47.84
16 1.02946 1.50876 69.62 59.34
17 0.967637 1.44628 71.4178 59.84
18 0.904007 1.59596 73.0044 57.44
19 0.849897 1.42195 74.5089 61.72
20 0.785058 1.43948 76.1778 61.66
21 0.713353 1.43703 78.4733 61.7
22 0.645851 1.3166 80.52 64.18
23 0.584228 1.26219 82.2533 65.8
24 0.499535 1.18385 85.0689 67.82
25 0.42356 1.19493 87.64 67.54
26 0.343456 1.15612 90.3378 68.86
27 0.275682 1.13682 92.7267 69.36
28 0.223143 1.08054 94.6889 70.88
29 0.191871 1.07436 95.8111 70.86
30 0.176678 1.07679 96.4444 70.82
