x y v
0 31 0.582059
1 31 0.458848
2 31 0.544456
3 31 0.482064
4 31 0.539829
5 31 0.609596
6 31 0.54689
7 31 0.512807
8 31 0.517346
9 31 0.530517
10 31 0.547342
11 31 0.523408
12 31 0.470165
13 31 0.527031
14 31 0.553791
15 31 0.541932
16 31 0.525815
17 31 0.49569
18 31 0.449751
19 31 0.430698
20 31 0.509392
21 31 0.573578
22 31 0.568543
23 31 0.559904
24 31 0.559912
25 31 0.554735
26 31 0.539345
27 31 0.528194
28 31 0.535952
29 31 0.539485
30 31 0.5235
31 31 0.271269
0 30 0.773566
1 30 0.553863
2 30 0.558753
3 30 0.504637
4 30 0.541939
5 30 0.661342
6 30 0.664573
7 30 0.698364
8 30 0.727372
9 30 0.673006
10 30 0.650525
11 30 0.630248
12 30 0.539248
13 30 0.574513
14 30 0.636013
15 30 0.636136
16 30 0.657082
17 30 0.633438
18 30 0.559835
19 30 0.524441
20 30 0.554368
21 30 0.591977
22 30 0.615507
23 30 0.645687
24 30 0.665229
25 30 0.652735
26 30 0.664394
27 30 0.693175
28 30 0.678359
29 30 0.646056
30 30 0.625021
31 30 0.314736
0 29 0.802085
1 29 0.663444
2 29 0.592429
3 29 0.519105
4 29 0.470887
5 29 0.511846
6 29 0.542833
7 29 0.611525
8 29 0.705636
9 29 0.697329
10 29 0.665143
11 29 0.630432
12 29 0.576238
13 29 0.567809
14 29 0.579803
15 29 0.606063
16 29 0.677554
17 29 0.682273
18 29 0.593051
19 29 0.572275
20 29 0.549619
21 29 0.532519
22 29 0.571847
23 29 0.580565
24 29 0.599474
25 29 0.629608
26 29 0.740808
27 29 0.817595
28 29 0.758138
29 29 0.685224
30 29 0.645867
31 29 0.317614
0 28 0.717153
1 28 0.643239
2 28 0.607587
3 28 0.586448
4 28 0.528043
5 28 0.47408
6 28 0.479318
7 28 0.529285
8 28 0.602796
9 28 0.654724
10 28 0.655117
11 28 0.612634
12 28 0.599368
13 28 0.610498
14 28 0.52176
15 28 0.552445
16 28 0.693763
17 28 0.688309
18 28 0.597105
19 28 0.580173
20 28 0.570842
21 28 0.521348
22 28 0.498829
23 28 0.470079
24 28 0.456341
25 28 0.469244
26 28 0.643686
27 28 0.759048
28 28 0.783931
29 28 0.843372
30 28 0.730381
31 28 0.307355
0 27 0.70359
1 27 0.65177
2 27 0.652988
3 27 0.627609
4 27 0.605135
5 27 0.567192
6 27 0.570832
7 27 0.592865
8 27 0.598988
9 27 0.648604
10 27 0.654828
11 27 0.607902
12 27 0.589053
13 27 0.614994
14 27 0.494881
15 27 0.469824
16 27 0.701141
17 27 0.715342
18 27 0.600651
19 27 0.557933
20 27 0.536108
21 27 0.483074
22 27 0.469483
23 27 0.40611
24 27 0.381884
25 27 0.419839
26 27 0.420046
27 27 0.368219
28 27 0.550089
29 27 0.930769
30 27 0.904598
31 27 0.362285
0 26 0.716395
1 26 0.616996
2 26 0.679359
3 26 0.653275
4 26 0.628648
5 26 0.598077
6 26 0.597484
7 26 0.600601
8 26 0.63439
9 26 0.717962
10 26 0.697011
11 26 0.635454
12 26 0.607907
13 26 0.604254
14 26 0.515587
15 26 0.42806
16 26 0.645493
17 26 0.747531
18 26 0.628126
19 26 0.542569
20 26 0.45076
21 26 0.393911
22 26 0.435855
23 26 0.376078
24 26 0.458805
25 26 0.634919
26 26 0.508696
27 26 0.170601
28 26 0.230595
29 26 0.78677
30 26 1
31 26 0.446173
0 25 0.764144
1 25 0.624465
2 25 0.652265
3 25 0.649483
4 25 0.631473
5 25 0.594976
6 25 0.564219
7 25 0.497076
8 25 0.549971
9 25 0.732234
10 25 0.704474
11 25 0.655254
12 25 0.65233
13 25 0.61127
14 25 0.5515
15 25 0.485555
16 25 0.588994
17 25 0.715471
18 25 0.645406
19 25 0.509921
20 25 0.361087
21 25 0.31336
22 25 0.385878
23 25 0.341889
24 25 0.523155
25 25 0.790156
26 25 0.620074
27 25 0.195668
28 25 0.03798
29 25 0.536566
30 25 0.975029
31 25 0.50299
0 24 0.756588
1 24 0.664359
2 24 0.65309
3 24 0.641109
4 24 0.633627
5 24 0.609678
6 24 0.55671
7 24 0.482897
8 24 0.484885
9 24 0.659958
10 24 0.637527
11 24 0.625228
12 24 0.699595
13 24 0.62984
14 24 0.557568
15 24 0.542195
16 24 0.596896
17 24 0.64669
18 24 0.573268
19 24 0.46365
20 24 0.351491
21 24 0.294233
22 24 0.34839
23 24 0.32689
24 24 0.566678
25 24 0.791389
26 24 0.624814
27 24 0.290527
28 24 0.11798
29 24 0.458273
30 24 0.938597
31 24 0.531218
0 23 0.748606
1 23 0.66381
2 23 0.655383
3 23 0.634858
4 23 0.634035
5 23 0.6288
6 23 0.553904
7 23 0.530416
8 23 0.538133
9 23 0.577961
10 23 0.598345
11 23 0.666091
12 23 0.844551
13 23 0.844628
14 23 0.679597
15 23 0.557232
16 23 0.602289
17 23 0.580242
18 23 0.439928
19 23 0.391581
20 23 0.378448
21 23 0.324558
22 23 0.300472
23 23 0.333922
24 23 0.674097
25 23 0.7789
26 23 0.569655
27 23 0.255051
28 23 0.0817724
29 23 0.41862
30 23 0.887756
31 23 0.520634
0 22 0.763601
1 22 0.640338
2 22 0.641116
3 22 0.656823
4 22 0.642856
5 22 0.625938
6 22 0.548238
7 22 0.521854
8 22 0.523981
9 22 0.467027
10 22 0.446001
11 22 0.48966
12 22 0.667225
13 22 0.872985
14 22 0.912387
15 22 0.758041
16 22 0.689188
17 22 0.60091
18 22 0.420136
19 22 0.332112
20 22 0.353047
21 22 0.358672
22 22 0.277393
23 22 0.353388
24 22 0.786373
25 22 0.807543
26 22 0.564843
27 22 0.311969
28 22 0.076855
29 22 0.346514
30 22 0.80184
31 22 0.483955
0 21 0.769466
1 21 0.617267
2 21 0.61677
3 21 0.670956
4 21 0.641324
5 21 0.586021
6 21 0.575215
7 21 0.531624
8 21 0.378484
9 21 0.298926
10 21 0.293925
11 21 0.312399
12 21 0.38576
13 21 0.529634
14 21 0.688489
15 21 0.697597
16 21 0.657166
17 21 0.592611
18 21 0.457177
19 21 0.337077
20 21 0.295729
21 21 0.334828
22 21 0.279425
23 21 0.377392
24 21 0.835687
25 21 0.826677
26 21 0.601985
27 21 0.479847
28 21 0.260743
29 21 0.299575
30 21 0.642285
31 21 0.41245
0 20 0.733677
1 20 0.605614
2 20 0.630459
3 20 0.662699
4 20 0.598436
5 20 0.55318
6 20 0.599582
7 20 0.489808
8 20 0.217936
9 20 0.184657
10 20 0.265262
11 20 0.281208
12 20 0.302256
13 20 0.329679
14 20 0.388783
15 20 0.429438
16 20 0.451847
17 20 0.478602
18 20 0.444533
19 20 0.363107
20 20 0.305519
21 20 0.289716
22 20 0.260857
23 20 0.412068
24 20 0.823345
25 20 0.794249
26 20 0.622667
27 20 0.619683
28 20 0.542919
29 20 0.452937
30 20 0.576618
31 20 0.342211
0 19 0.629941
1 19 0.55772
2 19 0.636326
3 19 0.600019
4 19 0.512326
5 19 0.538017
6 19 0.655379
7 19 0.493722
8 19 0.143591
9 19 0.113939
10 19 0.253574
11 19 0.296592
12 19 0.300485
13 19 0.303454
14 19 0.309742
15 19 0.322684
16 19 0.359737
17 19 0.411121
18 19 0.42323
19 19 0.366913
20 19 0.351435
21 19 0.264752
22 19 0.226057
23 19 0.491082
24 19 0.793167
25 19 0.72289
26 19 0.617075
27 19 0.634304
28 19 0.648415
29 19 0.603829
30 19 0.657513
31 19 0.352032
0 18 0.539667
1 18 0.487401
2 18 0.535717
3 18 0.463708
4 18 0.44499
5 18 0.537487
6 18 0.709493
7 18 0.517343
8 18 0.139752
9 18 0.108576
10 18 0.238676
11 18 0.31904
12 18 0.29893
13 18 0.288189
14 18 0.301512
15 18 0.310248
16 18 0.340588
17 18 0.38767
18 18 0.427241
19 18 0.378208
20 18 0.400898
21 18 0.298201
22 18 0.221148
23 18 0.602372
24 18 0.821151
25 18 0.678086
26 18 0.624993
27 18 0.620715
28 18 0.589906
29 18 0.588713
30 18 0.673257
31 18 0.373319
0 17 0.533596
1 17 0.429199
2 17 0.39175
3 17 0.364437
4 17 0.438067
5 17 0.525833
6 17 0.721495
7 17 0.528629
8 17 0.111563
9 17 0.114888
10 17 0.248851
11 17 0.348715
12 17 0.306736
13 17 0.260133
14 17 0.284059
15 17 0.295581
16 17 0.313223
17 17 0.359437
18 17 0.443224
19 17 0.392346
20 17 0.392068
21 17 0.342524
22 17 0.269687
23 17 0.680709
24 17 0.874084
25 17 0.679507
26 17 0.628367
27 17 0.630213
28 17 0.562112
29 17 0.534787
30 17 0.600032
31 17 0.354595
0 16 0.612956
1 16 0.371252
2 16 0.245117
3 16 0.323695
4 16 0.443791
5 16 0.523734
6 16 0.742284
7 16 0.603934
8 16 0.120899
9 16 0.026776
10 16 0.208389
11 16 0.386679
12 16 0.325879
13 16 0.218631
14 16 0.248743
15 16 0.283113
16 16 0.296693
17 16 0.328766
18 16 0.465687
19 16 0.422945
20 16 0.293531
21 16 0.310831
22 16 0.352983
23 16 0.739812
24 16 0.878108
25 16 0.682597
26 16 0.623558
27 16 0.632487
28 16 0.601512
29 16 0.561804
30 16 0.57885
31 16 0.365908
0 15 0.712124
1 15 0.366053
2 15 0.194668
3 15 0.307054
4 15 0.41376
5 15 0.516598
6 15 0.777143
7 15 0.715406
8 15 0.295763
9 15 0
10 15 0.0969995
11 15 0.426454
12 15 0.399807
13 15 0.191307
14 15 0.189008
15 15 0.254686
16 15 0.283308
17 15 0.307313
18 15 0.52078
19 15 0.500979
20 15 0.196898
21 15 0.19639
22 15 0.435778
23 15 0.802337
24 15 0.822156
25 15 0.661061
26 15 0.632446
27 15 0.631088
28 15 0.619973
29 15 0.569752
30 15 0.532472
31 15 0.366785
0 14 0.748858
1 14 0.390704
2 14 0.234789
3 14 0.281842
4 14 0.350402
5 14 0.5021
6 14 0.805325
7 14 0.770123
8 14 0.485954
9 14 0.120825
10 14 0.0377336
11 14 0.481813
12 14 0.491222
13 14 0.194451
14 14 0.112409
15 14 0.178847
16 14 0.232961
17 14 0.270244
18 14 0.57986
19 14 0.596315
20 14 0.15816
21 14 0.102636
22 14 0.492997
23 14 0.89387
24 14 0.824523
25 14 0.649237
26 14 0.636996
27 14 0.626138
28 14 0.61575
29 14 0.570285
30 14 0.492761
31 14 0.330735
0 13 0.73259
1 13 0.457633
2 13 0.331718
3 13 0.243947
4 13 0.27626
5 13 0.468549
6 13 0.812197
7 13 0.829606
8 13 0.586773
9 13 0.232154
10 13 0.028528
11 13 0.575097
12 13 0.694016
13 13 0.33799
14 13 0.166152
15 13 0.136875
16 13 0.157003
17 13 0.192528
18 13 0.519535
19 13 0.59429
20 13 0.155069
21 13 0.0486233
22 13 0.420706
23 13 0.890585
24 13 0.952958
25 13 0.774466
26 13 0.672516
27 13 0.627307
28 13 0.618864
29 13 0.602166
30 13 0.520838
31 13 0.287517
0 12 0.699272
1 12 0.52964
2 12 0.433816
3 12 0.232922
4 12 0.213451
5 12 0.402489
6 12 0.765171
7 12 0.873437
8 12 0.671187
9 12 0.3732
10 12 0.0485378
11 12 0.55621
12 12 0.873224
13 12 0.584897
14 12 0.40769
15 12 0.311542
16 12 0.301998
17 12 0.329772
18 12 0.490203
19 12 0.553817
20 12 0.27702
21 12 0.0746292
22 12 0.157575
23 12 0.553683
24 12 0.773349
25 12 0.851778
26 12 0.772881
27 12 0.645185
28 12 0.621816
29 12 0.628273
30 12 0.583201
31 12 0.294711
0 11 0.686868
1 11 0.569082
2 11 0.491787
3 11 0.284305
4 11 0.209903
5 11 0.354689
6 11 0.722914
7 11 0.835157
8 11 0.657933
9 11 0.597466
10 11 0.238426
11 11 0.458526
12 11 0.870829
13 11 0.718248
14 11 0.581414
15 11 0.500397
16 11 0.502738
17 11 0.572103
18 11 0.601592
19 11 0.586785
20 11 0.49094
21 11 0.336072
22 11 0.132984
23 11 0.40772
24 11 0.54472
25 11 0.70627
26 11 0.812112
27 11 0.675723
28 11 0.624601
