x y v
0 31 0.145169
1 31 0.294362
2 31 0.285526
3 31 0.252608
4 31 0.364283
5 31 0.282721
6 31 0.243661
7 31 0.262296
8 31 0.248587
9 31 0.232536
10 31 0.221268
11 31 0.204978
12 31 0.222628
13 31 0.312771
14 31 0.235322
15 31 0.224971
16 31 0.222222
17 31 0.236559
18 31 0.272111
19 31 0.335891
20 31 0.361974
21 31 0.301042
22 31 0.294592
23 31 0.305938
24 31 0.287772
25 31 0.265001
26 31 0.253947
27 31 0.248362
28 31 0.242404
29 31 0.221831
30 31 0.225571
31 31 0.256293
0 30 0.440413
1 30 0.439558
2 30 0.584365
3 30 0.623555
4 30 0.64528
5 30 0.633271
6 30 0.610514
7 30 0.648125
8 30 0.584917
9 30 0.525543
10 30 0.576476
11 30 0.599401
12 30 0.603227
13 30 0.658032
14 30 0.591693
15 30 0.570845
16 30 0.607012
17 30 0.566887
18 30 0.567598
19 30 0.571706
20 30 0.534707
21 30 0.606597
22 30 0.68393
23 30 0.662295
24 30 0.624472
25 30 0.612885
26 30 0.658843
27 30 0.646747
28 30 0.577333
29 30 0.574916
30 30 0.612906
31 30 0.602737
0 29 0.599402
1 29 0.554146
2 29 0.53313
3 29 0.527865
4 29 0.475201
5 29 0.55216
6 29 0.719055
7 29 0.732677
8 29 0.651564
9 29 0.577671
10 29 0.588877
11 29 0.586231
12 29 0.622
13 29 0.524826
14 29 0.543783
15 29 0.620387
16 29 0.64123
17 29 0.604029
18 29 0.604575
19 29 0.630508
20 29 0.535709
21 29 0.593688
22 29 0.622683
23 29 0.582061
24 29 0.680404
25 29 0.780153
26 29 0.869929
27 29 0.710387
28 29 0.586789
29 29 0.613019
30 29 0.615448
31 29 0.588078
0 28 0.473662
1 28 0.583606
2 28 0.55606
3 28 0.518196
4 28 0.447448
5 28 0.470109
6 28 0.47574
7 28 0.387525
8 28 0.458178
9 28 0.587303
10 28 0.587549
11 28 0.606786
12 28 0.635827
13 28 0.563152
14 28 0.539074
15 28 0.695564
16 28 0.653221
17 28 0.562616
18 28 0.598301
19 28 0.577321
20 28 0.579527
21 28 0.596152
22 28 0.566421
23 28 0.652647
24 28 0.816152
25 28 0.896077
26 28 0.854741
27 28 0.618522
28 28 0.719902
29 28 0.75443
30 28 0.521766
31 28 0.550435
0 27 0.287318
1 27 0.508732
2 27 0.507281
3 27 0.53111
4 27 0.546006
5 27 0.491255
6 27 0.446027
7 27 0.447058
8 27 0.5101
9 27 0.578352
10 27 0.554315
11 27 0.597985
12 27 0.582821
13 27 0.593412
14 27 0.586428
15 27 0.646507
16 27 0.635455
17 27 0.487808
18 27 0.562224
19 27 0.566716
20 27 0.616203
21 27 0.573263
22 27 0.670617
23 27 0.7308
24 27 0.713254
25 27 0.54297
26 27 0.253845
27 27 0.439888
28 27 0.904656
29 27 0.822162
30 27 0.489123
31 27 0.523884
0 26 0.387378
1 26 0.59585
2 26 0.584571
3 26 0.548072
4 26 0.599034
5 26 0.603973
6 26 0.626362
7 26 0.621488
8 26 0.684309
9 26 0.644651
10 26 0.558454
11 26 0.59428
12 26 0.571599
13 26 0.56671
14 26 0.608741
15 26 0.54443
16 26 0.593779
17 26 0.543211
18 26 0.527434
19 26 0.543928
20 26 0.552298
21 26 0.750298
22 26 0.830603
23 26 0.590297
24 26 0.537442
25 26 0.220911
26 26 0
27 26 0.354033
28 26 0.659111
29 26 0.690071
30 26 0.611466
31 26 0.519382
0 25 0.471798
1 25 0.501772
2 25 0.543622
3 25 0.576706
4 25 0.601696
5 25 0.607681
6 25 0.622706
7 25 0.631323
8 25 0.745577
9 25 0.673212
10 25 0.537235
11 25 0.635476
12 25 0.596399
13 25 0.565923
14 25 0.609901
15 25 0.576127
16 25 0.504717
17 25 0.563239
18 25 0.539499
19 25 0.569209
20 25 0.717327
21 25 0.826893
22 25 0.607753
23 25 0.48879
24 25 0.546038
25 25 0.350186
26 25 0.396554
27 25 0.474023
28 25 0.356414
29 25 0.543919
30 25 0.554007
31 25 0.453001
0 24 0.489322
1 24 0.551991
2 24 0.510756
3 24 0.585898
4 24 0.602777
5 24 0.60976
6 24 0.563978
7 24 0.596502
8 24 0.546004
9 24 0.512052
10 24 0.504743
11 24 0.665908
12 24 0.637375
13 24 0.569055
14 24 0.636017
15 24 0.616667
16 24 0.503039
17 24 0.499938
18 24 0.579095
19 24 0.738867
20 24 0.803682
21 24 0.617363
22 24 0.498617
23 24 0.518984
24 24 0.495865
25 24 0.271688
26 24 0.360323
27 24 0.43464
28 24 0.45394
29 24 0.45622
30 24 0.445411
31 24 0.409869
0 23 0.39133
1 23 0.584769
2 23 0.567451
3 23 0.601256
4 23 0.59762
5 23 0.603251
6 23 0.575225
7 23 0.639298
8 23 0.461218
9 23 0.416901
10 23 0.690574
11 23 0.789972
12 23 0.791594
13 23 0.692758
14 23 0.582935
15 23 0.531198
16 23 0.564042
17 23 0.507385
18 23 0.69301
19 23 0.869788
20 23 0.710234
21 23 0.520519
22 23 0.489177
23 23 0.519984
24 23 0.374168
25 23 0.109698
26 23 0.473079
27 23 0.595136
28 23 0.633066
29 23 0.481557
30 23 0.338428
31 23 0.406112
0 22 0.42666
1 22 0.593977
2 22 0.600363
3 22 0.631339
4 22 0.573809
5 22 0.601918
6 22 0.606092
7 22 0.615298
8 22 0.601973
9 22 0.756105
10 22 1
11 22 0.958975
12 22 0.93537
13 22 0.899255
14 22 0.731714
15 22 0.615709
16 22 0.645684
17 22 0.687483
18 22 0.793114
19 22 0.674455
20 22 0.580354
21 22 0.532993
22 22 0.419608
23 22 0.465763
24 22 0.311126
25 22 0.187898
26 22 0.493957
27 22 0.453405
28 22 0.329193
29 22 0.32431
30 22 0.276179
31 22 0.421591
0 21 0.471876
1 21 0.630274
2 21 0.656458
3 21 0.634077
4 21 0.548657
5 21 0.614071
6 21 0.709865
7 21 0.663583
8 21 0.693036
9 21 0.892139
10 21 0.697615
11 21 0.566938
12 21 0.562723
13 21 0.71864
14 21 0.906493
15 21 0.914556
16 21 0.865636
17 21 0.862417
18 21 0.691884
19 21 0.483666
20 21 0.481939
21 21 0.482791
22 21 0.409159
23 21 0.41735
24 21 0.329023
25 21 0.307707
26 21 0.520053
27 21 0.492975
28 21 0.308279
29 21 0.139502
30 21 0.298786
31 21 0.472672
0 20 0.531928
1 20 0.703718
2 20 0.660638
3 20 0.555944
4 20 0.608575
5 20 0.789947
6 20 0.798234
7 20 0.569219
8 20 0.580617
9 20 0.664195
10 20 0.48239
11 20 0.409018
12 20 0.350463
13 20 0.328109
14 20 0.436981
15 20 0.620804
16 20 0.668035
17 20 0.607253
18 20 0.479823
19 20 0.442065
20 20 0.41156
21 20 0.367174
22 20 0.421142
23 20 0.400285
24 20 0.292436
25 20 0.3447
26 20 0.544364
27 20 0.508281
28 20 0.361376
29 20 0.182088
30 20 0.337362
31 20 0.506624
