x y v
0 31 0.608777
1 31 0.602781
2 31 0.690835
3 31 0.650265
4 31 0.736934
5 31 0.817284
6 31 0.773047
7 31 0.738108
8 31 0.699998
9 31 0.700869
10 31 0.74821
11 31 0.762762
12 31 0.678331
13 31 0.822291
14 31 0.775095
15 31 0.754198
16 31 0.78529
17 31 0.7737
18 31 0.728514
19 31 0.68537
20 31 0.658588
21 31 0.681441
22 31 0.757602
23 31 0.809465
24 31 0.796483
25 31 0.801046
26 31 0.791678
27 31 0.759696
28 31 0.747771
29 31 0.744181
30 31 0.76838
31 31 0.581531
0 30 0.545012
1 30 0.695402
2 30 0.540681
3 30 0.454255
4 30 0.538169
5 30 0.419773
6 30 0.539904
7 30 0.750573
8 30 0.782307
9 30 0.607133
10 30 0.58555
11 30 0.576141
12 30 0.583511
13 30 0.590368
14 30 0.540441
15 30 0.551637
16 30 0.642182
17 30 0.663752
18 30 0.651936
19 30 0.707411
20 30 0.62953
21 30 0.500125
22 30 0.514147
23 30 0.54853
24 30 0.59525
25 30 0.586587
26 30 0.667092
27 30 0.718664
28 30 0.627145
29 30 0.572912
30 30 0.589616
31 30 0.47639
0 29 0.382951
1 29 0.664648
2 29 0.725603
3 29 0.612434
4 29 0.556703
5 29 0.445555
6 29 0.477966
7 29 0.466808
8 29 0.464128
9 29 0.545877
10 29 0.605501
11 29 0.565075
12 29 0.662145
13 29 0.678252
14 29 0.487614
15 29 0.566915
16 29 0.638573
17 29 0.631592
18 29 0.616781
19 29 0.701835
20 29 0.569887
21 29 0.548354
22 29 0.580418
23 29 0.441451
24 29 0.439865
25 29 0.578669
26 29 0.822559
27 29 0.739547
28 29 0.626281
29 29 0.640325
30 29 0.634606
31 29 0.451856
0 28 0.396417
1 28 0.441218
2 28 0.570978
3 28 0.600297
4 28 0.68524
5 28 0.625054
6 28 0.598887
7 28 0.583309
8 28 0.493329
9 28 0.483808
10 28 0.545334
11 28 0.564954
12 28 0.599539
13 28 0.670524
14 28 0.486404
15 28 0.604437
16 28 0.69221
17 28 0.521299
18 28 0.584253
19 28 0.599165
20 28 0.642953
21 28 0.610588
22 28 0.440772
23 28 0.44334
24 28 0.513986
25 28 0.494402
26 28 0.593018
27 28 0.386182
28 28 0.571248
29 28 0.90882
30 28 0.628016
31 28 0.408634
0 27 0.403679
1 27 0.59865
2 27 0.646957
3 27 0.570816
4 27 0.614751
5 27 0.686871
6 27 0.717831
7 27 0.64237
8 27 0.610505
9 27 0.60717
10 27 0.56815
11 27 0.590183
12 27 0.609774
13 27 0.579738
14 27 0.562355
15 27 0.573546
16 27 0.692874
17 27 0.539227
18 27 0.552089
19 27 0.604423
20 27 0.490188
21 27 0.46622
22 27 0.652029
23 27 0.555876
24 27 0.676656
25 27 0.814846
26 27 0.374309
27 27 0
28 27 0.403002
29 27 0.752833
30 27 0.688042
31 27 0.457089
0 26 0.393225
1 26 0.457967
2 26 0.573046
3 26 0.592088
4 26 0.62026
5 26 0.587489
6 26 0.58821
7 26 0.50395
8 26 0.656327
9 26 0.714957
10 26 0.580308
11 26 0.625304
12 26 0.64461
13 26 0.596446
14 26 0.600233
15 26 0.660796
16 26 0.599732
17 26 0.507409
18 26 0.558329
