x y v
0 31 0.901637
1 31 0.776838
2 31 0.771836
3 31 0.819088
4 31 0.63696
5 31 0.717954
6 31 0.788018
7 31 0.803907
8 31 0.818508
9 31 0.82667
10 31 0.827272
11 31 0.856319
12 31 0.846874
13 31 0.726694
14 31 0.771975
15 31 0.785311
16 31 0.815483
17 31 0.829572
18 31 0.84065
19 31 0.787018
20 31 0.718469
21 31 0.766845
22 31 0.762159
23 31 0.735587
24 31 0.754668
25 31 0.795701
26 31 0.819354
27 31 0.82499
28 31 0.819215
29 31 0.832925
30 31 0.840173
31 31 0.937266
0 30 0.725846
1 30 0.655117
2 30 0.603791
3 30 0.666866
4 30 0.474846
5 30 0.522566
6 30 0.536594
7 30 0.440509
8 30 0.483346
9 30 0.598064
10 30 0.597804
11 30 0.626405
12 30 0.637945
13 30 0.513431
14 30 0.580621
15 30 0.570874
16 30 0.559075
17 30 0.616981
18 30 0.666589
19 30 0.633939
20 30 0.59682
21 30 0.589017
22 30 0.521864
23 30 0.500791
24 30 0.517361
25 30 0.543375
26 30 0.494003
27 30 0.488917
28 30 0.564038
29 30 0.604896
30 30 0.594516
31 30 0.82242
0 29 0.556264
1 29 0.609406
2 29 0.584493
3 29 0.701388
4 29 0.652458
5 29 0.615731
6 29 0.513132
7 29 0.442843
8 29 0.516096
9 29 0.603658
10 29 0.580578
11 29 0.621932
12 29 0.622249
13 29 0.584748
14 29 0.636666
15 29 0.54379
16 29 0.486598
17 29 0.565842
18 29 0.625131
19 29 0.574858
20 29 0.64686
21 29 0.607542
22 29 0.522758
23 29 0.53706
24 29 0.442087
25 29 0.313555
26 29 0.145592
27 29 0.285702
28 29 0.49582
29 29 0.540011
30 29 0.558623
31 29 0.827849
0 28 0.599148
1 28 0.656041
2 28 0.632065
3 28 0.696493
4 28 0.711589
5 28 0.724697
6 28 0.707153
7 28 0.711783
8 28 0.674086
9 28 0.628488
10 28 0.601293
11 28 0.62266
12 28 0.583623
13 28 0.595128
14 28 0.669211
15 28 0.482344
16 28 0.433644
17 28 0.600461
18 28 0.634853
19 28 0.588258
20 28 0.61537
21 28 0.584073
22 28 0.573527
23 28 0.497506
24 28 0.286469
25 28 0.190106
26 28 0.0911392
27 28 0.326582
28 28 0.318952
29 28 0.262762
30 28 0.562324
31 28 0.874411
0 27 0.750808
1 27 0.63075
2 27 0.615805
3 27 0.651802
4 27 0.669557
5 27 0.700715
6 27 0.67286
7 27 0.681472
8 27 0.64573
9 27 0.582766
10 27 0.620127
11 27 0.637136
12 27 0.601982
13 27 0.601851
14 27 0.6924
15 27 0.522337
16 27 0.426388
17 27 0.645085
18 27 0.647693
19 27 0.602857
20 27 0.614231
21 27 0.603125
22 27 0.431357
23 27 0.377612
24 27 0.310744
25 27 0.394253
26 27 0.609506
27 27 0.67973
28 27 0.187743
29 27 0.0574263
30 27 0.514493
31 27 0.857614
0 26 0.759146
1 26 0.579823
2 26 0.580156
3 26 0.628495
4 26 0.610156
5 26 0.633385
6 26 0.581603
7 26 0.5809
8 26 0.485384
9 26 0.445045
10 26 0.593649
11 26 0.610417
12 26 0.617141
13 26 0.616606
14 26 0.701351
15 26 0.625625
16 26 0.449298
17 26 0.626048
18 26 0.645907
19 26 0.647204
20 26 0.632707
21 26 0.438183
22 26 0.259584
23 26 0.416048
24 26 0.308273
25 26 0.510132
26 26 0.834282
27 26 0.785411
28 26 0.298698
29 26 0.0510535
30 26 0.410734
31 26 0.858874
0 25 0.718399
1 25 0.599117
2 25 0.61013
3 25 0.636919
4 25 0.603459
5 25 0.631516
6 25 0.596074
7 25 0.622826
8 25 0.453385
9 25 0.406245
10 25 0.62955
11 25 0.556719
12 25 0.585562
13 25 0.625268
14 25 0.653734
15 25 0.637688
16 25 0.514369
17 25 0.603803
18 25 0.642588
19 25 0.617958
20 25 0.521004
21 25 0.32953
22 25 0.307127
23 25 0.467442
24 25 0.198795
25 25 0.357873
26 25 0.723086
27 25 0.793062
28 25 0.57519
29 25 0.165654
30 25 0.351235
31 25 0.921447
0 24 0.700086
1 24 0.621599
2 24 0.628922
3 24 0.615118
4 24 0.589105
5 24 0.618103
6 24 0.645167
7 24 0.652519
8 24 0.565911
9 24 0.53936
10 24 0.715329
11 24 0.506196
12 24 0.50847
13 24 0.61975
14 24 0.597307
15 24 0.599961
16 24 0.560815
17 24 0.610078
18 24 0.619803
19 24 0.450488
20 24 0.362951
21 24 0.353057
22 24 0.362853
23 24 0.430328
24 24 0.151495
25 24 0.510271
26 24 0.770887
27 24 0.751801
28 24 0.522233
29 24 0.138135
30 24 0.303991
31 24 0.969067
0 23 0.748921
