epoch train_loss val_loss train_acc val_acc
1 1.67313 1.37856 38.1622 49.52
2 1.15638 1.1645 58.28 59.04
3 0.903311 1.45617 68.2844 56.26
4 0.74225 0.816475 73.9956 73.22
5 0.628479 1.04552 78.1911 69
6 0.547612 0.869212 80.9156 72.8
7 0.491914 0.860421 83.1622 72.8
8 0.439835 0.77109 84.8111 76.4
9 0.402569 0.84704 85.9756 73.28
10 0.368885 0.771243 87.2622 77
11 0.341054 0.667455 88.2422 79.24
12 0.313682 0.615591 89.2111 80.5
13 0.288385 0.580255 89.9533 81.4
14 0.270075 0.478645 90.7044 84.46
15 0.258138 0.544125 90.9356 83.68
16 0.23638 0.591805 91.8511 82.28
17 0.222044 0.459263 92.2733 85.22
18 0.208798 0.464728 92.5911 85.24
19 0.188899 0.361143 93.5178 88.08
20 0.177676 0.433708 93.8844 86.48
21 0.15934 0.451643 94.5156 86.08
22 0.137156 0.399791 95.26 87.72
23 0.122882 0.362951 95.8089 89.04
24 0.100182 0.304372 96.6844 90.4
25 0.0759275 0.279046 97.5689 91.38
26 0.0577411 0.272274 98.1622 91.88
27 0.0395161 0.255278 98.9489 92.68
28 0.0289719 0.248649 99.3156 92.86
29 0.0241129 0.247099 99.5178 92.86
30 0.0219338 0.245291 99.58 92.9
