x neg pos
2.5 0.0117859 0.000165055
7.5 0.00984897 0.00035369
12.5 0.00967786 0.000801698
17.5 0.0118658 0.00117897
22.5 0.0134034 0.00115539
27.5 0.0139145 0.00280594
32.5 0.0134787 0.00389059
37.5 0.0140947 0.00636642
42.5 0.0143502 0.009361
47.5 0.0154522 0.0141712
52.5 0.0150119 0.0192172
57.5 0.0136384 0.0245697
62.5 0.0118315 0.0267154
67.5 0.00929002 0.0265032
72.5 0.00725725 0.0215751
77.5 0.0150986 0.0411695
