x neg pos
85 0.0153062 0
95 0.00778199 0
105 0.00772723 0
115 0 0
125 0.00773978 0.00749823
135 0.00773522 0.00813487
145 0.0153997 0.0151733
155 0.0230859 0.0149021
165 0.00764624 0.00818203
175 0 0
185 0 0
195 0 0
205 0.0075778 0.00762792
215 0 0
225 0 0.0070738
235 0 0
245 0 0.00746286
255 0 0
265 0 0.00747465
275 0 0
285 0 0.00853572
295 0 0.00793445
