x y v
0 31 0.685121
1 31 0.684939
2 31 0.763672
3 31 0.654228
4 31 0.771952
5 31 0.817948
6 31 0.765907
7 31 0.75181
8 31 0.753577
9 31 0.768255
10 31 0.797912
11 31 0.769193
12 31 0.690908
13 31 0.786467
14 31 0.783676
15 31 0.790476
16 31 0.782454
17 31 0.751828
18 31 0.678928
19 31 0.637168
20 31 0.703032
21 31 0.73481
22 31 0.743996
23 31 0.759747
24 31 0.76553
25 31 0.770314
26 31 0.773123
27 31 0.771337
28 31 0.783168
29 31 0.781071
30 31 0.762678
31 31 0.378994
0 30 0.671959
1 30 0.545145
2 30 0.479109
3 30 0.475213
4 30 0.475535
5 30 0.514258
6 30 0.552691
7 30 0.658845
8 30 0.679879
9 30 0.581206
10 30 0.555282
11 30 0.566285
12 30 0.497254
13 30 0.542368
14 30 0.549457
15 30 0.539707
16 30 0.609937
17 30 0.622756
18 30 0.615853
19 30 0.644159
20 30 0.539812
21 30 0.459071
22 30 0.507117
23 30 0.568612
24 30 0.575822
25 30 0.542637
26 30 0.586435
27 30 0.640953
28 30 0.604013
29 30 0.555877
30 30 0.560656
31 30 0.511062
0 29 0.554874
1 29 0.664094
2 29 0.638986
3 29 0.630922
4 29 0.523187
5 29 0.367876
6 29 0.382767
7 29 0.471948
8 29 0.569485
9 29 0.578952
10 29 0.580822
11 29 0.550439
12 29 0.649024
13 29 0.583898
14 29 0.477193
15 29 0.504492
16 29 0.578678
17 29 0.590197
18 29 0.570241
19 29 0.64904
20 29 0.554709
21 29 0.519328
22 29 0.550296
23 29 0.443563
24 29 0.401606
25 29 0.411773
26 29 0.600426
27 29 0.678881
28 29 0.610913
29 29 0.589305
30 29 0.589543
31 29 0.507915
0 28 0.456845
1 28 0.542881
2 28 0.614675
3 28 0.689349
4 28 0.64667
5 28 0.586378
6 28 0.659463
7 28 0.580768
8 28 0.460041
9 28 0.51753
10 28 0.55002
11 28 0.522645
12 28 0.611185
13 28 0.615423
14 28 0.430587
15 28 0.51032
16 28 0.604214
17 28 0.552517
18 28 0.576955
19 28 0.595051
20 28 0.572673
21 28 0.553879
22 28 0.459282
23 28 0.339801
24 28 0.292767
25 28 0.331366
26 28 0.53482
27 28 0.443262
28 28 0.512508
29 28 0.753849
30 28 0.63201
31 28 0.482442
0 27 0.520651
1 27 0.602346
2 27 0.59934
3 27 0.579114
4 27 0.64942
5 27 0.695892
6 27 0.671232
7 27 0.598586
8 27 0.539506
9 27 0.581913
10 27 0.55653
