epoch train_loss val_loss train_acc val_acc
1 4.31696 3.9513 5.8 9.38
2 3.67864 3.53467 13.3 14.78
3 3.21185 3.322 20.9889 19.72
4 2.7565 2.89714 29.1822 26.82
5 2.4059 2.95918 36.2356 28.08
6 2.13626 2.33238 42.3867 38.56
7 1.91502 2.24197 47.0222 41.14
8 1.7543 2.27794 51.0533 41.1
9 1.6136 2.34336 54.2556 40.82
10 1.4942 2.07234 57.7356 44.7
11 1.398 1.95249 59.8956 49.52
12 1.3139 2.062 61.8911 47.32
13 1.24038 1.89751 64.2044 50.2
14 1.16176 2.01775 65.8622 49.42
15 1.1006 1.93746 67.4378 50.8
16 1.04084 1.70326 69.0778 54.88
17 0.97751 1.86586 71.2067 52.56
18 0.921348 1.72298 72.5644 55.18
19 0.858095 1.6913 74.4067 56.62
20 0.79684 1.51058 76.0978 59.98
21 0.726277 1.48006 78.1711 60.82
22 0.660581 1.47342 80.1244 61.16
23 0.595087 1.4114 82.1222 63.34
24 0.510362 1.37012 84.6467 64.4
25 0.43731 1.30703 87.1689 65.84
26 0.359617 1.23055 89.6022 68
27 0.288864 1.18781 92.1422 68.6
28 0.234247 1.16472 93.9978 69.58
29 0.198022 1.15217 95.4022 70.02
30 0.179351 1.1531 96.1911 69.82
