idx model short acc params macs epoch_s infer_ms f1 top5
0 BasicCNN M0 85.62 0.620362 10.8488 1.99766 0.00507262 85.6041 99.32
1 VGGNet M1 92.65 2.69895 379.259 50.0771 0.0988655 92.6495 99.79
2 ResNet M2 92.69 2.741 383.65 62.3955 0.121674 92.685 99.82
3 SEResNet M3 92.05 2.76346 383.672 63.4267 0.115347 92.0325 99.83
