x y v
0 31 0.231668
1 31 0.219427
2 31 0.263195
3 31 0.267311
4 31 0.319139
5 31 0.286785
6 31 0.221606
7 31 0.199082
8 31 0.193679
9 31 0.190447
10 31 0.182076
11 31 0.167069
12 31 0.189546
13 31 0.238629
14 31 0.22371
15 31 0.201578
16 31 0.176072
17 31 0.162912
18 31 0.176237
19 31 0.222247
20 31 0.277112
21 31 0.289005
22 31 0.281901
23 31 0.265032
24 31 0.237829
25 31 0.214815
26 31 0.20165
27 31 0.194222
28 31 0.18793
29 31 0.178332
30 31 0.171434
31 31 0.203616
0 30 0.398818
1 30 0.383876
2 30 0.422442
3 30 0.383141
4 30 0.511461
5 30 0.528308
6 30 0.538262
7 30 0.544158
8 30 0.494364
9 30 0.430731
10 30 0.427336
11 30 0.393625
12 30 0.384829
13 30 0.441477
14 30 0.450132
15 30 0.466921
16 30 0.43896
17 30 0.385025
18 30 0.330451
19 30 0.325654
20 30 0.408424
21 30 0.453341
22 30 0.479452
23 30 0.483816
24 30 0.483858
25 30 0.48657
26 30 0.506162
27 30 0.478036
28 30 0.432563
29 30 0.416278
30 30 0.40752
31 30 0.20615
0 29 0.54397
1 29 0.42497
2 29 0.398961
3 29 0.287844
4 29 0.351001
5 29 0.455995
6 29 0.502492
7 29 0.530133
8 29 0.509946
9 29 0.462181
10 29 0.437656
11 29 0.412665
12 29 0.343806
13 29 0.401231
14 29 0.426345
15 29 0.487954
16 29 0.506933
17 29 0.452706
18 29 0.386088
19 29 0.3634
20 29 0.367506
21 29 0.401211
22 29 0.453334
23 29 0.513735
24 29 0.613259
25 29 0.712997
26 29 0.74631
27 29 0.645105
28 29 0.528031
29 29 0.464494
30 29 0.426104
31 29 0.206458
0 28 0.512551
1 28 0.404386
2 28 0.384249
3 28 0.302636
4 28 0.284657
5 28 0.261578
6 28 0.248877
7 28 0.328734
8 28 0.420359
9 28 0.424507
10 28 0.4323
11 28 0.413681
12 28 0.388873
13 28 0.401546
14 28 0.409273
15 28 0.490545
16 28 0.533437
17 28 0.451465
18 28 0.382139
19 28 0.398111
20 28 0.390942
21 28 0.380801
22 28 0.450143
23 28 0.559884
24 28 0.674226
25 28 0.710202
26 28 0.760981
27 28 0.761014
28 28 0.73119
29 28 0.620619
30 28 0.442839
31 28 0.190167
0 27 0.441851
1 27 0.416967
2 27 0.407396
3 27 0.37197
4 27 0.326898
5 27 0.291419
6 27 0.328462
7 27 0.357731
8 27 0.398421
9 27 0.42421
10 27 0.420387
11 27 0.374348
12 27 0.39986
13 27 0.402696
14 27 0.349858
15 27 0.438907
16 27 0.529957
17 27 0.450526
18 27 0.370405
19 27 0.410557
20 27 0.381292
21 27 0.437833
22 27 0.556783
23 27 0.529775
24 27 0.488114
25 27 0.370462
26 27 0.40976
27 27 0.574461
28 27 0.785124
29 27 0.806375
30 27 0.573028
31 27 0.21363
0 26 0.453516
1 26 0.44354
2 26 0.444568
3 26 0.410474
4 26 0.396317
5 26 0.38941
6 26 0.436238
7 26 0.475498
8 26 0.513547
9 26 0.518547
10 26 0.445271
11 26 0.390921
12 26 0.381793
13 26 0.400883
14 26 0.286533
15 26 0.360655
16 26 0.530483
17 26 0.46351
18 26 0.389663
19 26 0.366318
20 26 0.440994
21 26 0.555978
22 26 0.562653
23 26 0.500389
24 26 0.48026
25 26 0.358674
26 26 0.31396
27 26 0.285783
28 26 0.574568
29 26 0.899484
30 26 0.678845
31 26 0.252117
0 25 0.429563
1 25 0.428633
2 25 0.431559
3 25 0.410375
4 25 0.399776
5 25 0.376195
6 25 0.398455
7 25 0.432787
8 25 0.509716
9 25 0.555367
10 25 0.464798
11 25 0.439384
12 25 0.407685
13 25 0.395407
14 25 0.331432
15 25 0.309301
16 25 0.481843
17 25 0.466803
18 25 0.424273
19 25 0.438626
20 25 0.481837
21 25 0.482729
22 25 0.55617
23 25 0.522567
24 25 0.620956
25 25 0.654678
26 25 0.362689
27 25 0.109463
28 25 0.338077
29 25 0.756751
30 25 0.709934
31 25 0.261176
0 24 0.44739
1 24 0.413563
2 24 0.438135
3 24 0.416531
4 24 0.412567
5 24 0.365169
6 24 0.358276
7 24 0.319152
8 24 0.378529
9 24 0.474807
10 24 0.431573
11 24 0.478554
12 24 0.470999
13 24 0.410987
14 24 0.384299
15 24 0.339292
16 24 0.428621
17 24 0.465837
18 24 0.489044
19 24 0.538349
20 24 0.457765
21 24 0.466384
22 24 0.564892
23 24 0.499853
24 24 0.646673
25 24 0.585713
26 24 0.386677
27 24 0.250635
28 24 0.343393
29 24 0.681832
30 24 0.725691
31 24 0.260179
0 23 0.439315
1 23 0.429956
2 23 0.438454
3 23 0.437547
4 23 0.424347
5 23 0.397871
6 23 0.387505
7 23 0.335022
8 23 0.374496
9 23 0.55811
10 23 0.630991
11 23 0.785627
12 23 0.805703
13 23 0.633737
14 23 0.439278
15 23 0.382198
16 23 0.434397
17 23 0.491344
18 23 0.549341
19 23 0.567543
20 23 0.508695
21 23 0.504152
22 23 0.532809
23 23 0.491899
24 23 0.607204
25 23 0.536354
26 23 0.400467
27 23 0.308308
28 23 0.290277
29 23 0.603238
30 23 0.703667
31 23 0.250644
0 22 0.425953
1 22 0.441536
2 22 0.465541
3 22 0.474344
4 22 0.435573
5 22 0.425679
6 22 0.385218
7 22 0.450479
8 22 0.546855
9 22 0.723161
10 22 0.765081
11 22 0.87936
12 22 1
13 22 0.958327
14 22 0.835943
15 22 0.685117
16 22 0.684796
17 22 0.651166
18 22 0.548076
19 22 0.537699
20 22 0.557629
21 22 0.507147
22 22 0.498623
23 22 0.511178
24 22 0.698202
25 22 0.494846
26 22 0.34678
27 22 0.147229
28 22 0.147724
29 22 0.42952
30 22 0.625013
31 22 0.236051
0 21 0.450809
1 21 0.469212
2 21 0.490664
3 21 0.503554
4 21 0.456124
5 21 0.498711
6 21 0.500404
7 21 0.538083
8 21 0.557731
9 21 0.55425
10 21 0.57314
11 21 0.612916
12 21 0.755061
13 21 0.919696
14 21 0.967598
15 21 0.898424
16 21 0.904245
17 21 0.736466
18 21 0.553351
19 21 0.512732
20 21 0.504746
21 21 0.513892
22 21 0.475683
23 21 0.556662
24 21 0.770367
25 21 0.493065
26 21 0.407993
27 21 0.214258
28 21 0.0327796
29 21 0.249414
30 21 0.480852
31 21 0.213175
0 20 0.501299
1 20 0.513168
2 20 0.519772
3 20 0.56586
4 20 0.552758
5 20 0.607324
6 20 0.546039
7 20 0.431089
8 20 0.36321
9 20 0.456026
10 20 0.509994
11 20 0.497788
12 20 0.50126
13 20 0.562965
14 20 0.680588
15 20 0.693505
16 20 0.696463
17 20 0.628561
18 20 0.571565
19 20 0.484284
20 20 0.462179
21 20 0.484736
22 20 0.455387
23 20 0.56218
24 20 0.735902
25 20 0.477459
26 20 0.446308
27 20 0.340757
28 20 0.17275
29 20 0.224837
30 20 0.400129
31 20 0.183691
0 19 0.508178
1 19 0.550816
2 19 0.583153
3 19 0.636509
4 19 0.610425
5 19 0.566633
6 19 0.50752
7 19 0.372771
8 19 0.255755
9 19 0.425295
10 19 0.474302
11 19 0.477174
12 19 0.478308
13 19 0.479817
14 19 0.500359
15 19 0.506747
16 19 0.538721
17 19 0.569539
18 19 0.542415
19 19 0.487536
20 19 0.435497
21 19 0.418635
22 19 0.429956
23 19 0.529914
24 19 0.630482
25 19 0.422972
26 19 0.427675
27 19 0.439913
28 19 0.430176
29 19 0.395159
30 19 0.473297
31 19 0.2125
0 18 0.432528
1 18 0.485642
2 18 0.557279
3 18 0.591901
4 18 0.535431
5 18 0.559504
6 18 0.587947
7 18 0.362406
8 18 0.241334
9 18 0.382499
10 18 0.448554
11 18 0.463967
12 18 0.455817
13 18 0.476302
14 18 0.496539
15 18 0.511702
16 18 0.540315
17 18 0.564081
18 18 0.536852
19 18 0.476497
20 18 0.477785
21 18 0.387106
22 18 0.411792
23 18 0.561863
24 18 0.563136
25 18 0.374838
26 18 0.408714
27 18 0.415256
28 18 0.462122
29 18 0.462748
30 18 0.506615
31 18 0.23596
0 17 0.314657
1 17 0.37161
2 17 0.469825
3 17 0.497096
4 17 0.504077
5 17 0.555556
6 17 0.589198
7 17 0.338031
8 17 0.214065
9 17 0.368134
10 17 0.445674
11 17 0.474262
12 17 0.432341
13 17 0.456769
14 17 0.48401
15 17 0.501114
16 17 0.531106
17 17 0.559141
18 17 0.557355
19 17 0.47846
20 17 0.526093
21 17 0.419401
22 17 0.433645
23 17 0.66857
24 17 0.540281
25 17 0.378861
26 17 0.411793
27 17 0.36362
28 17 0.351063
29 17 0.329334
30 17 0.447599
31 17 0.226055
0 16 0.262383
1 16 0.303534
2 16 0.351156
3 16 0.449772
4 16 0.506379
5 16 0.529458
6 16 0.60218
7 16 0.286305
8 16 0.105964
9 16 0.277582
10 16 0.41238
11 16 0.485468
12 16 0.371371
13 16 0.394977
14 16 0.448273
15 16 0.480036
16 16 0.500054
17 16 0.532857
18 16 0.555486
19 16 0.413193
20 16 0.462878
21 16 0.469668
22 16 0.484006
23 16 0.700853
24 16 0.509619
25 16 0.376825
26 16 0.394064
27 16 0.367772
28 16 0.325303
29 16 0.34959
30 16 0.443969
31 16 0.263027
0 15 0.337067
1 15 0.270097
2 15 0.265941
3 15 0.422098
4 15 0.488984
5 15 0.532291
6 15 0.6441
7 15 0.347834
8 15 0.0636562
9 15 0.144434
10 15 0.326502
11 15 0.482384
12 15 0.317564
13 15 0.29021
14 15 0.372307
15 15 0.42984
16 15 0.454888
17 15 0.494443
18 15 0.543384
19 15 0.349661
20 15 0.3239
21 15 0.45355
22 15 0.495979
23 15 0.626452
24 15 0.444856
25 15 0.380573
26 15 0.401881
27 15 0.403039
28 15 0.398878
29 15 0.396013
30 15 0.429087
31 15 0.297975
0 14 0.434738
1 14 0.257045
2 14 0.234471
3 14 0.391666
4 14 0.443689
5 14 0.562384
6 14 0.672731
7 14 0.452219
8 14 0.194499
9 14 0.0903459
10 14 0.260469
11 14 0.462477
12 14 0.217289
13 14 0.123922
14 14 0.19952
15 14 0.299754
16 14 0.370948
17 14 0.424584
