x y v
0 31 0.746211
1 31 0.725384
2 31 0.748434
3 31 0.758715
4 31 0.686208
5 31 0.731773
6 31 0.751319
7 31 0.771
8 31 0.781662
9 31 0.802259
10 31 0.815469
11 31 0.835652
12 31 0.818595
13 31 0.774373
14 31 0.770106
15 31 0.785894
16 31 0.807279
17 31 0.805816
18 31 0.795609
19 31 0.748298
20 31 0.703157
21 31 0.743929
22 31 0.765179
23 31 0.760466
24 31 0.766268
25 31 0.784361
26 31 0.79173
27 31 0.80244
28 31 0.812513
29 31 0.82568
30 31 0.837522
31 31 0.826641
0 30 0.675733
1 30 0.526376
2 30 0.549264
3 30 0.498463
4 30 0.408757
5 30 0.461908
6 30 0.443563
7 30 0.425284
8 30 0.45299
9 30 0.504045
10 30 0.518078
11 30 0.504105
12 30 0.483095
13 30 0.425674
14 30 0.470472
15 30 0.469206
16 30 0.469746
17 30 0.485214
18 30 0.514521
19 30 0.515069
20 30 0.545142
21 30 0.563094
22 30 0.473979
23 30 0.430525
24 30 0.459026
25 30 0.472323
26 30 0.447858
27 30 0.442401
28 30 0.476359
29 30 0.509074
30 30 0.496294
31 30 0.475783
0 29 0.567626
1 29 0.440101
2 29 0.475936
3 29 0.549359
4 29 0.537767
5 29 0.584005
6 29 0.47005
7 29 0.343627
8 29 0.394387
9 29 0.477767
10 29 0.485506
11 29 0.497211
12 29 0.475841
13 29 0.470751
14 29 0.549575
15 29 0.484695
16 29 0.431359
17 29 0.460951
18 29 0.473927
19 29 0.461926
20 29 0.519734
21 29 0.537672
22 29 0.484851
23 29 0.482834
24 29 0.447317
25 29 0.34659
26 29 0.227048
27 29 0.262455
28 29 0.404385
29 29 0.459448
30 29 0.454994
31 29 0.470312
0 28 0.585897
1 28 0.529523
2 28 0.480118
3 28 0.547507
4 28 0.587049
5 28 0.612389
6 28 0.582275
7 28 0.633299
8 28 0.672298
9 28 0.590777
10 28 0.496202
11 28 0.493248
12 28 0.450476
13 28 0.480749
14 28 0.525878
15 28 0.437922
16 28 0.401565
17 28 0.473043
18 28 0.490682
19 28 0.468114
20 28 0.529971
21 28 0.488351
22 28 0.477769
23 28 0.47391
24 28 0.322606
25 28 0.181363
26 28 0.11994
27 28 0.302649
28 28 0.374611
29 28 0.30505
30 28 0.392207
31 28 0.50362
0 27 0.672874
1 27 0.632923
2 27 0.561321
3 27 0.560281
4 27 0.544444
5 27 0.550163
6 27 0.587923
7 27 0.637055
8 27 0.603199
