Representation,MAE,MSE,RMSE,R2
"Định lượng + định danh, chưa thiết kế",1.0932005395860753,2.029377800891693,1.4245623190621368,0.5902913697616884
Đầy đủ + đặc trưng thiết kế,1.0946877790574987,2.0497213722132397,1.4316848019774604,0.58618423074763
Chỉ đặc trưng định lượng,1.4387553612081576,3.298786015474021,1.8162560434790083,0.33401208032565344
