Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Baseline (Dummy),0.6546762589928058,0.0,0.0,0.0,
K-Nearest Neighbors,0.7841726618705036,0.6956521739130435,0.6666666666666666,0.6808510638297872,0.8461538461538461
Logistic Regression,0.7913669064748201,0.7435897435897436,0.6041666666666666,0.6666666666666666,0.8708791208791209
XGBoost,0.7194244604316546,0.5957446808510638,0.5833333333333334,0.5894736842105263,0.7905219780219781
Random Forest,0.7194244604316546,0.6153846153846154,0.5,0.5517241379310345,0.8191391941391941
Decision Tree,0.7266187050359713,0.6785714285714286,0.3958333333333333,0.5,0.7446199633699635
