k,Accuracy,Precision,Recall,F1-Score
1,0.6258992805755396,0.4523809523809524,0.3958333333333333,0.4222222222222222
3,0.7697841726618705,0.6739130434782609,0.6458333333333334,0.6595744680851063
5,0.8129496402877698,0.7291666666666666,0.7291666666666666,0.7291666666666666
7,0.7841726618705036,0.6875,0.6875,0.6875
9,0.7769784172661871,0.6666666666666666,0.7083333333333334,0.6868686868686869
11,0.7841726618705036,0.6956521739130435,0.6666666666666666,0.6808510638297872
15,0.7913669064748201,0.7209302325581395,0.6458333333333334,0.6813186813186813
21,0.7841726618705036,0.7142857142857143,0.625,0.6666666666666666
31,0.7913669064748201,0.7111111111111111,0.6666666666666666,0.6881720430107527
