Representation,Accuracy,Precision,Recall,F1-Score
"Làm sạch, chưa chuẩn hoá",0.8057553956834532,0.7560975609756098,0.6458333333333334,0.6966292134831461
Thô — giữ nguyên giá trị 0 phi lý,0.7985611510791367,0.75,0.625,0.6818181818181818
Làm sạch + chuẩn hoá,0.7985611510791367,0.75,0.625,0.6818181818181818
Làm sạch + chuẩn hoá + đặc trưng thiết kế,0.7913669064748201,0.7435897435897436,0.6041666666666666,0.6666666666666666
