Model,MAE,MSE,RMSE,R2
Baseline (Median),1.858735758912165,4.957303711870636,2.2265003282889126,-0.0008240518711637446
XGBoost,1.0493308668272847,1.9115242045395533,1.3825788239878236,0.6140846898171644
Random Forest,1.0818214861905244,2.0183845091403647,1.420698598978814,0.5925107921399504
Support Vector Regression,1.0742662692458054,2.0882636694836987,1.4450825822366342,0.5784029729581839
Decision Tree,1.2411839600643386,2.751936444602977,1.6588961524468542,0.44441487892211917
Linear Regression,1.2676914867069442,3.191422167336125,1.786455196005801,0.35568763779866985
